บทคัดย่อ,ประเภทของโปรเจค
การตอบสนองการเคลื่อนไหวของร่างกายโดยใช้การรับรู้ทางสายตาและเสียงจัดทำขึ้นเพื่อเป็นการทดสอบสมรรถภาพทางเคลื่อนไหวของร่างกายให้นักเรียนนักศึกษาและบุคคลทั่วไปที่มีความสนใจเกี่ยวกับสมรรถภาพการเคลื่อนไหวของร่างกายได้ทดสอบโดยมีความเร็วทั้งหมด3ระดับได้แก่1)ความเร็วในการสุ่มอุปกรณ์1000ms2)ความเร็วในการสุ่มอุปกรณ์750ms3)ความเร็วในการสุ่มอุปกรณ์500msในการพัฒนาเริ่มต้นจากการศึกษาข้อมูลจากเอกสารตำราและนำมาพัฒนาทั้งด้านฮาร์ดแวร์ด้วยไมโครคอนโทรลเลอร์TRW-2.4Gและซอฟต์แวร์ด้วยโปรแกรมVisualStudio2010ซึ่งจะเป็นการทดสอบการเคลื่อนไหวของร่างกายการรับรู้ทางสายตาและการรับรู้ทางเสียงว่าสมรรถภาพการตอบสนองของผู้ทดสอบนั้นอยู่ในระดับใดจากการทดสอบการทำงานพบว่าสามารถใช้งานตรงตามวัตถุประสงค์และขอบเขตของโครงงานที่กำหนดไว้ทุกประการ,MIS
ปริญญานิพนธ์นี้เป็นการพัฒนาชุดประลองวิชาระบบฝังตัวและการเชื่อมต่อระบบคอมพิวเตอร์ในรายวิชาระบบฝังตัวและการเชื่อมต่อระบบคอมพิวเตอร์*ของภาควิชาคอมพิวเตอร์ศึกษาซึ่งชุดทดลองที่ภาควิชามีอยู่นั้นเหมาะสําหรับการเรียนเขียนโปรแกรมและควบคุมฮาร์ดแวร์แบบขั้นพื้นฐานมากกว่าผู้จัดทําจึงได้พัฒนาชุดประลองนี้ขึ้นชุดประลองวิชาระบบฝังตัวและการเชื่อมต่อระบบคอมพิวเตอร์เป็นการจําลองระบบปั้มน้ําหอพักโดยมีแนวคิดออกแบบการเชื่อมต่อโดยกําหนดขาการเชื่อมต่อของอุปกรณ์แต่ละชุดไว้กับพอร์ตDB36*pinเพื่อความสะดวกในการเชื่อมต่อลดความผิดพลาดในการต่ออุปกรณ์และสามารถเชื่อมต่อชุดประลองใดก่อนก็ได้ผลลัพธ์ของการเขียนโปรแกรมควบคุมการทํางานนั้นไม่ต่างกันทําให้ผู้สอนสามารถควบคุมห้องเรียนได้ง่ายและการเรียนการสอนนั้นเป็นไปในทิศทางเดียวกันพร้อมสร้างใบประลองและคู่มือการใช้งานผลการทดสอบชุดประลองสามารถทํางานตามขอบเขตผลการทดสอบโปรแกรมตามใบประลองสามารถควบคุมตามเงื่อนไขของใบประลองและสามารถนําไปใช้ประกอบในการเรียนการสอนในรายวิชารายวิชาระบบฝังตัวและการเชื่อมต่อระบบคอมพิวเตอร์ได้,MIS
ปริญญานิพนธ์ฉบับนี้เป็นการพัฒนาระบบประเมินบทความออนไลน์เพื่อช่วยอำนวยความสะดวกในการประเมินบทความโดยเจ้าของบทความสามารถส่งบทความผ่านทางระบบเพื่อให้กองบรรณาธิการตรวจสอบและส่งต่อให้ผู้ประเมินผู้ส่งสามารถจัดบทความแบบอัตโนมัติจากระบบที่พัฒนาขึ้นได้พร้อมทั้งสามารถตรวจสอบสถานะการส่งบทความได้ในขณะเดียวกันกองบรรณาธิการสามารถกำหนดหลักเกณฑ์การประเมินบทความอ่านบทความและคัดเลือกผู้ประเมินที่เหมาะสมกับบทความรวมถึงสามารถทราบผลการประเมินจากผู้ประเมินบทความ(Reviewers)และทำการประเมินครั้งสุดท้ายก่อนจะส่งผลประเมินกลับไปให้เจ้าของบทความผู้ประเมินบทความสามารถเข้ามาตรวจสอบบทความและทำการประเมินบทความรวมถึงพักการประเมินไว้ชั่วคราวและเข้ามาประเมินซ้ำได้การประเมินจะทำผ่านทางเว็บแอพพลิเคชั่นเมื่อทำการประเมินเสร็จผู้ส่งบทความจะสามารถทราบผลการประเมินทันทีและมีระบบอีเมล์แจ้งเตือนในทุกขั้นตอนผลการดำเนินงานพบว่าระบบประเมินบทความออนไลน์ที่พัฒนาขึ้นสามารถอำนวยความสะดวกในการจัดการประเมินบทความออนไลน์ได้จริงทั้งให้ส่วนของเจ้าบทความกองบรรณาธิการและผู้ประเมินบทความโดยระบบประเมินบทความออนไลน์สามารถทำงานได้ตามวัตถุประสงค์และขอบเขตที่กำหนดไว้ทุกประการ,MIS
การจัดทําโครงงานการพัฒนาสื่อการสอนวิชา“จิตวิทยาการศึกษา”โดยใช้เทคนิคโมชั่นกราฟิกเป็นการพัฒนาสื่อการสอนในวิชาจิตวิทยาการศึกษาซึ่งนํามาจากคําอธิบายรายวิชา“จิตวิทยาสําหรับครู”ในหลักสูตรครุศาสตร์อุตสาหกรราบัณฑิตสาขาวิชาคอมพิวเตอร์ศึกษามหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือซึ่งแบ่งออกเป็น9เรื่องได้แก่เรื่องที่1ทฤษฎีการวางเงื่อนไขแบบคลาสสิกเรื่องที่2ทฤษฎีการวางเงื่อนไขแบบโอเปอแรนต์เรื่องที่3ทฤษฎีการเรียนรู้โดยการค้นพบเรื่องที่4ทฤษฎีการเรียนรู้ทางสังคมแนวพุทธิปัญญาเรื่องที่5การถ่ายโยงการเรียนรู้เรื่องที่6การเรียนรู้แบบแก้ปัญหาเรื่องที่7การเรียนรู้แบบจัดกรอบมโนทัศน์เรื่องที่8จิตวิทยาการศึกษาเรื่องที่9ขั้นตอนการให้คําปรึกษาโดยการพัฒนาสื่อการสอนจะใช้เทคนิคการนําเสนอแบบโมชั่นกราฟิก(MotionGraphic)และใช้โปรแกรมต่างๆในการพัฒนาดังนี้คือ1)โปรแกรมAdobeAfterEffectใช้ในการสร้างแอนิเมชั่นและการตัดต่อวีดีโอ2)โปรแกรมGarageBandใช้ในการตัดต่อและบันทึกเสียงผลการพัฒนาสื่อการสอนคือวีดีโอสื่อการสอนที่มีความยาวรวม32.44นาทีและในแต่ละเรื่องแบ่งออกเป็นเรื่องละประมาณ4นาทีสามารถแสดงผลได้ทั้งในรูปแบบของเครื่องเลน่DVDและเครื่องคอมพิวเตอร์เพื่อใช้ในการเรียนการสอนต่อไป,CAI
การพัฒนาโครงงานการ์ตูน2มิติเรื่องหนูดีเป็นการนำเสนอคุณธรรมจริยธรรมในรูปแบบของการ์ตูนแอนิเมชัน2ตอนได้แก่ตอนที่1ต้นกล้าจอมซนนำเสนอคุณธรรมจริยธรรมด้านความขยันคือผู้ที่มีความตั้งใจมุ่งมั่นศึกษาเล่าเรียนพากเพียรพยายามมีความมานะอดทนไม่ท้อถอยกล้าเผชิญอุปสรรคเพื่อความสำเร็จในอนาคตตอนที่2ออมเงินอย่างฉลาดเป็นการนำเสนอด้านความประหยัดคือผู้ที่ดำเนินชีวิตเป็นอยู่อย่างเรียบง่ายรู้จักฐานะการเงินของตนคิดก่อนใช้คิดก่อนซื้อเก็บออมถนอมใช้ทรัพย์สินสิ่งของอย่างคุ้มค่าไม่ฟุ่มเฟือยฟุ้งเฟ้อโดยการพัฒนาการ์ตูนประกอบไปด้วยโปรแกรมต่างๆดังนี้1)โปรแกรมAdobeFlashProfessionalCS6ใช้ในการสร้างการ์ตูนแอนิเมชัน2)โปรแกรมAdobeAuditionCS6ใช้ในการตัดต่อเสียง3)SqirlzWaterReflectionsใช้เพิ่มEffectsการเคลื่อนไหว4)โปรแกรมCamtasiaStudio8ใช้ในการจับภาพแสดงผล5)SonyVegasใช้ในงานตัดต่อภาพยนตร์และ6)โปรแกรมNero2015ใช้ในการบันทึกลงแผ่นDVDผลการพัฒนาโครงงานพบว่าการ์ตูนมีความยาวรวม15.61นาทีตอนที่9.45นาทีตอนที่26.16นาทีสามารถแสดงผลได้ทั้งในรูปแบบของเครื่องเล่นDVDและเครื่องคอมพิวเตอร์โครงงานที่พัฒนาขึ้นนี้สามารถนำไปเผยแพร่ให้แก่เด็กเยาวชนและบุคคลทั่วไปเพื่อส่งเสริมให้เกิดการปฏิบัติตนที่ดีด้านความขยันและความประหยัดอดออมผ่านทางการ์ตูนแอนิเมชันรวมทั้งยังได้ความสนุกสนานเพลิดเพลินในการรับชม,CAI
ปริญญานิพนธ์เรื่อง“สื่อแอนิเมชั่น2มิติเรื่อง8อาชีพในประชาคมเศรษฐกิจอาเซียน”ฉบับนี้สามารถประสบความสำเร็จลุล่วงไปได้ด้วยดีผู้จัดทำโครงการขอขอบพระคุณความกรุณาจากอาจารย์ดร.สุธิดาชัยชมชื่นท่านอาจารย์ที่ปรึกษาปริญญานิพนธ์ที่กรุณาสละเวลาอันมีค่ารับเป็นอาจารย์กรรมการที่ปรึกษาปริญญานิพนธ์ในเรื่องนี้และคอยให้คำปรึกษาปริญญานิพนธ์คำแนะนำตรวจข้อผิดพลาดที่เกิดขึ้นทำให้ปริญญานิพนธ์สำเร็จลุล่วงไปด้วยความเรียบร้อยขอขอบคุณคณะกรรมการอาจารย์และเจ้าหน้าที่ภาควิชาคอมพิวเตอร์ศึกษาคณะครุศาสตร์อุตสาหกรรมที่สละเวลาเพื่อให้ความรู้คำแนะนำข้อคิดเห็นและการสนับสนุนในเรื่องต่างๆของการจัดทำปริญญานิพนธ์ฉบับนี้มาโดยตลอดร่วมทั้งทุกท่านและผู้ที่มีส่วนเกี่ยวข้องกับความสำเร็จแต่มิได้เอ่ยนามทุกท่านมาณที่นี้ด้วยสุดท้ายนี้ผู้จัดทำปริญญานิพนธ์ใคร่ขอกราบขอบพระคุณบิดามารดาญาติพี่น้องที่ให้ความอนุเคราะห์รวมถึงผู้มีอุปการคุณทุกท่านที่ส่งเสริมและอุปถัมภ์ทางการศึกษาตลอดจนครูอาจารย์ที่ได้ประสิทธิ์ประสาทวิชาจนประสบความสำเร็จซึ่งสนับสนุนในทุกๆด้านบุคคลเหล่านี้ล้วนเป็นแรงผลักดันให้ขวัญกำลังใจและให้ความช่วยเหลือในการจัดทำปริญญานิพนธ์นี้สำเร็จลุล่วงไปได้ด้วยดีหากปริญญานิพนธ์ฉบับนี้ก่อให้เกิดประโยชน์ต่อผู้สนใจนับเป็นความปิติอย่างยิ่งที่ได้ทำงานวิจัยฉบับนี้ขึ้นและหากมีข้อผิดพลาดประการใดผู้เขียนขออภัยไว้ณที่นี,CAI
"การจัดทําโครงงานเรื่องการพัฒนาเพื่อทดลองเหมือนบนระบบปฏิบัติการแอนดรอยด์วิชาวิทยาศาตร์สำหรับนักเรียนประถมศึกษาปีที่6มีวัตถุประสงค์เพื่อถ่ายทอดเนื้อหาขั้นตอนการทดลองวิทยาสาศตร์ในลักขณะที่ใกล้เคียงกับสถานการณ์จริงในห้องเรียนมีการทดลองทั้งหมด7การทดลองได้แก่การทดสอบแป้งในอาหารการละลายการตกตะกอนการต่อหลอดไฟการนําไฟฟ้าของวัตถุชนิดต่างๆการเปลี่ยนแปลงพื้นผิวโลกเนื่องจากแรงน้ำการเปลี่ยนแปลงพื้นผิวโลกเนื่องจากแรงลมโดยแต่ละการทดลองประกอบด้วยวัตถุประสงค์เชิงพฤติกรรมแบบทดสอบก่อนเรียนแบบทดสอบหลังเรียนเนื้อหาการทดลองกิจกรรมการทดลองบันทึกผลการทดลองโดยศึกษาข้อมูลและเอกสารที่เกี่ยวข้องออกแบบแผนผังลําดับการทํางานการวิเคราะห์เนื้อหาออกแบบหน้าจอโปรแกรมตรวจสอบโดยอาจารย์ที่ปรึกษาสร้างภาพและฉากประกอบการบันทึกเสียงเขียนโปรแกรมควบคุมการทํางานโดยโปรแกรมที่ใช้ในการพัฒนาสื่อทดลองเหมือนได้แก่AdobeFlash,AdobeAIRและAdobeAuditionผลการดําเนินงานสื่อทดลองเหมือนบนระบบปฏิบัติการแอนดรอยด์วิชาวิทยาสาศตร์สำหรับนักเรียนประถมศึกษาปีที่6สามารถใช้เป็นสื่อการเรียนรู้ก่อนการทดลองวิทยาศาสตร์ในห้องปฏิบัติการได้อย่างดีเมื่อนําสื่อทดลองไปทดลองใช้งานโดยนักเรียนชั้นระดับประถมศึกษาปีที่6โรงเรียนวัดประชาศรัทธาธรรมมีระดับการประเมินหัวข้อภาพประกอบฉากและภาพอุปกรณ์มีลักษณะเหมือนจริงอยู่ในระดับสูงสุดได้ระดับค่าคะแนนมากที่สุด(5)รองลงมาคืออธิบายเนื้ออาการทดลองเข้าใจง่ายระบบเสียงมีความชัดเจนสะดวกสบายต่อการทบทวนบทเรียนระดับค่าคะแนนมากที่สุด(4.875)ส่วนหัวข้อประเมินอื่นๆอยู่ในระดับมากที่สุดทั้งหมดโดยมีภาพรวมอยู่ในระดับมากที่สุด(=4.848)",CAI
"การ์ตูนแอนิเมชั่นเพื่อการศึกษาเรื่องบุคคลสำคัญของไทยจัดทำขึ้นเพื่อเป็นสื่อให้นักเรียนนักศึกษาและบุคคลทั่วไปที่มีความสนใจเกี่ยวกับประวัติบุคคลสำคัญของไทยได้ศึกษาซึ่งมีเนื้อหาทั้งหมด2ตอนคือ1)สุนทรภู่และ2)พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัวโดยในการพัฒนาเริ่มต้นจากการศึกษาข้อมูลจากเอกสารตำราและนำมาเขียนเนื้อเรื่องแล้วพัฒนาสื่อด้วยโปรแกรมAdobePhotoshopCS6ในการวาดภาพลายเส้นตกแต่งสีภาพออกแบบฉากในการสร้างสื่อแอนิเมชั่นใช้โปรแกรมAdobeAfterEffterCS6เพื่อเพิ่มความน่าสนใจให้กับภาพนิ่งให้งานดูมีความสวยงามอลังการเสมือนจริงซึ่งเนื้อเรื่องโดยย่อจะกล่าวถึงการนำเสนอประวัติของบุคคลสำคัญประกอบด้วยข้อมูลวันเดือนปีเกิด,ประวัติครอบครัวการศึกษาการสร้างผลงาน,ตัวอย่างผลงานและรางวัลที่ได้รับการยกย่องจากUNESCOในรูปแบบของสื่อแอนิเมชั่นแบบ2มิติจากการทดสอบการทำงานของสื่อมัลติมีเดียพบว่าสื่อมัลติมีเดียสามารถใช้งานตรงตามวัตถุประสงค์และขอบเขตของโครงงานที่กำหนดไว้ทุกประการ",CAI
บทเรียนคอมพิวเตอร์ช่วยสอนวิชาคณิตศาสตร์เรื่องสมการและการแก้สมการสำหรับนักเรียนชั้นประถมศึกษาปีที่6หลักสูตรสถานศึกษาขั้นพื้นฐานพุทธศักราช2551สาระที่4พีชคณิตโดยมีเนื้อหาทั้งหมด11หัวข้อได้แก่1)ความหมายของสมการ2)สมการที่เป็นจริงและสมการที่เป็นเท็จ3)สมการที่มีตัวไม่ทราบค่า4)คาตอบของสมการ5)สมบัติของการเท่ากันเกี่ยวกับการบวกและการลบ6)การแก้สมการโดยใช้สมบัติการเท่ากันเกี่ยวกับการบวกหรือการลบ7)สมบัติของการเท่ากันเกี่ยวกับการคูณและการหาร8)การแก้สมการโดยใช้สมบัติการเท่ากันเกี่ยวกับการคูณหรือการหาร9)การเขียนสมการจากข้อความที่กำหนดให้10)การแก้โจทย์ปัญหาเมื่อโจทย์กำหนดตัวไม่ทราบค่า11)การแก้โจทย์ปัญหาเมื่อโจทย์ไม่กำหนดตัวไม่ทราบค่าภายในบทเรียนประกอบด้วยวัตถุประสงค์ในการเรียนที่ระบุไว้อย่างชัดเจนเนื้อหาแบบฝึกหัดแบบทดสอบสรุปผลการทำแบบฝึกหัดและสรุปผลคะแนนแบบทดสอบการนำเสนอบทเรียนมีลักษณะเป็นข้อความบรรยายการ์ตูนแอนิเมชั่น2มิติเสียงบรรยายและเสียงเพลงประกอบการสร้างบทเรียนคอมพิวเตอร์ช่วยสอนนี้ใช้โปรแกรมAdobeFlashProfessionalCS6ใช้ในการสร้างเนื้อหาภายในบทเรียนโปรแกรมAdobeCaptivate8ใช้ในการสร้างแบบฝึกหัดและแบบทดสอบและโปรแกรมAdobePhotoshopCS6ใช้ในการสร้างตัวอักษรให้มีแสงและเงาผลการพัฒนาบทเรียนพบว่าบทเรียนสามารถทำงานได้ดีบนระบบปฏิบัติการWindows7เป็นไปตามขอบเขตของโครงงาน,CAI
สื่อแอนิเมชันสองมิติบนระบบปฏิบัติการแอนดรอยด์เรื่องโครงการส่วนพระองค์สวนจิตรลดาได้จัดทำขึ้นโดยมีวัตถุประสงค์เพื่อพัฒนาสื่อแอนิเมชันสองมิติในลักษณะอินโฟกราฟิกส์เรื่องของโครงการส่วนพระองค์สวนจิตรลดาและโครงการย่อยต่างๆได้แก่ความเป็นมาของโครงการส่วนพระองค์สวนจิตรลดาและลักษณะการดำเนินการของแต่ละโครงการย่อยรวมทั้งสิ้น6แอนิเมชันซึ่งผู้จัดทำได้นำข้อมูลที่ได้จากการศึกษาและรวบรวมข้อมูลที่เกี่ยวข้องมาใช้ในการพัฒนาแอนิเมชันนี้โดยแอนิเมชันแต่ละตอนใช้เวลาในการนำเสนอประมาณ1ถึง1.30นาทีและสามารถรับชมได้บนอุปกรณ์ที่ใช้ระบบปฏิบัติการแอนดรอยด์ส่วนของโปรแกรมที่ใช้ในการพัฒนาได้แก่โปรแกรมออดาซิตี้(Audacity)ใช้สำหรับการอัดเสียงและตัดแต่งเสียงพากย์สำหรับแอนิเมชันโปรแกรมอะโดบีแฟลช(AdobeFlash)ใช้สำหรับสร้างแอนิเมชันโปรแกรมอะโดบีแอร์(AdobeAir)ใช้ติดตั้งในอุปกรณ์สมาร์ทโฟนหรือแท็บเล็ตสำหรับการแสดงผลของแอนิเมชันผลการดำเนินงานของสื่อแอนิเมชันสองมิติบนระบบปฏิบัติการแอนดรอยด์เรื่องโครงการส่วนพระองค์สวนจิตรลดาสามารถทำงานได้อย่างถูกต้องตามวัตถุประสงค์และขอบเขตของปริญญานิพนธ์ที่กำหนดไว้,CAI
โครงงานเรื่องการพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนเพื่อฝึกทักษะในรูปแบบการ์ตูนสองมิติวิชาคณิตศาสตร์ระดับชั้นมัธยมศึกษาปีที่1บนระบบปฏิบัติการณ์แอนดรอยด์จัดทำขึ้นเพื่อเป็นสื่อการเรียนการสอนเสริมวิชาคณิตศาสตร์สำหรับนักเรียนระดับชั้นมัธยมศึกษาปีที่1หรือผู้ที่สนใจโดยบทเรียนคอมพิวเตอร์ช่วยสอนเพื่อฝึกทักษะนั้นจะประกอบไปด้วยทั้งหมด6บทเรียนได้แก่เรื่องระบบจำนวนเต็มเลขยกกำลังพื้นฐานทางเรขาคณิตจำนวนและตัวเลขการประยุกต์ของจำนวนของตัวเลขและเลขยกกำลังการสร้างซึ่งในบทเรียนจะมีกิจกรรมระหว่างการให้เนื้อหาซึ่งจะเป็นการแก้โจทย์ปัญหาจากเนื้อหาที่ได้นำเสนอไปเพื่อให้ผู้เรียนได้ฝึกฝนทักษะตลอดเวลาจนเกิดความชำนาญและเข้าใจเนื้อหามากยิ่งขึ้นโดยที่ผู้จัดทำได้ใช้โปรแกรมAdobeFlashในการพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนเพื่อฝึกทักษะผลการดำเนินงานการพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนเพื่อฝึกทักษะในรูปแบบการ์ตูนสองมิติวิชาคณิตศาสตร์ระดับชั้นมัธยมศึกษาปีที่1บนระบบปฏิบัติการณ์แอนดรอยด์ได้ผ่านการทดสอบการใช้งานและเป็นไปตามขอบเขตของโครงงานดังนั้นบทเรียนนี้จึงสามารถนำไปใช้เป็นสื่อการเรียนการสอนเสริมตามวัตถุประสงค์และขอบเขตที่กำหนดไว้,CAI
สื่อแอนิเมชั่น2มิติบนระบบปฏิบัติการแอนดรอยด์เรื่องปัญหาขยะมูลฝอยในชุมชนสร้างขึ้นเพื่อพัฒนาสื่อแอนิเมชั่น2มิติบนระบบปฏิบัติการแอนดรอยด์เรื่องปัญหาขยะมูลฝอยในชุมชนผู้จัดทำได้ผลิตสื่อแอนิเมชั่นขึ้นมาโดยได้นำข้อมูลที่ได้จากการศึกษาและค้นคว้ามาใช้ในการผลิตโดยมีแอนิเมชั่นทั้งหมด2ตอนคือตอนขยะล้นเมืองและตอนพลังชุมชนลดปัญหาขยะมูลฝอยซึ่งสามารถเลือกรับชมตอนใดตอนหนึ่งก่อนได้ส่วนเนื้อเรื่องโดยรวมนั้นใช้เวลาประมาณ5นาทีซึ่งในแต่ละตอนแบ่งออกเป็น3ส่วนคือส่วนแรกคือส่วนของการเปิดเรื่อง(Beginning)ส่วนของการดำเนินเรื่อง(Middle)และส่วนการปิดเรื่อง(End)อีกทั้งยังมีเกมแยกขยะเพื่อให้ผู้ใช้งานเล่นเพื่อวัดความเข้าใจและสร้างความบันเทิงส่วนของแอนิเมชั่นได้ใช้โปรแกรมAdobeFlashสร้างแอนิเมชั่นและใช้โปรแกรมAdobeAuditionช่วยบันทึกเสียงและแต่งไฟล์เสียงและใช้โปรแกรมAdobeAirในการสร้างไฟล์.apkสำหรับติดตั้งสื่อลงในระบบปฏิบัติการแอนดรอยด์ผลการดำเนินงานแอนิเมชั่นเรื่องปัญหาขยะมูลฝอยในชุมชนบนระบบปฏิบัติการแอนดรอยด์สามารถทำงานได้อย่างถูกต้องตามขอบเขตของโครงงานและเป็นไปตามวัตถุประสงค์ที่กำหนดไว้,CAI
"โครงงานเรื่องการพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนแบบจำลองสถานการณ์ผ่านระบบปฏิบัติการแอนดรอยด์วิชาโครงสร้างระบบคอมพิวเตอร์มีวัตถุประสงค์เพื่อให้ผู้เรียนสามารถเรียนรู้บทเรียนคอมพิวเตอร์ช่วยสอนแบบจำลองสถานการณ์ผ่านระบบปฏิบัติการแอนดรอยด์วิชาโครงสร้างระบบคอมพิวเตอร์ทำให้มีความเข้าใจในเนื้อหาวิชามากยิ่งขึ้นเพราะจำลองสถานการณ์ในขั้นตอนการทำงานให้เห็นชัดเจนและมีการโต้ตอบกับผู้เรียนโดยโปรแกรมที่ใช้ในการพัฒนาได้แก่AdobeFlash,AdobeAudition,AdobeAIRและภาษาActionScript3.0โดยอาจารย์สามารถใช้เป็นสื่อการเรียนรู้เพื่อให้ความรู้เกี่ยวกับเนื้อหาวิชาโครงสร้างระบบคอมพิวเตอร์ผ่านระบบปฏิบัติการแอนดรอยด์โดยมีเนื้อหาจำนวน2หน่วยการเรียนผลการดำเนินงานการพัฒนาบทเรียนคอมพิวเตอร์ช่วยสอนแบบจำลองสถานการณ์ผ่านระบบปฏิบัติการแอนดรอยด์วิชาโครงสร้างระบบคอมพิวเตอร์สามารถนำไปใช้เป็นสื่อการเรียนรู้ในวิชาโครงสร้างระบบคอมพิวเตอร์ได้",CAI
ปัจจุบันความก้าวหน้าทางเทคโนโลยีเข้ามามีบทบาทต่อการดำเนินชีวิตในแต่ละวันของมนุษย์เป็นอย่างมากโดยเฉพาะเครื่องอำนวยความสะดวกในบ้านเรือนประเภทเครื่องใช้ไฟฟ้าเช่นหลอดไฟฟ้าโทรทัศน์พัดลมฯลฯจึงได้พัฒนาระบบควบคุมเครื่องใช้ไฟฟ้าในบ้านด้วยเสียงพูดภาษาไทยเพื่ออำนวยความสะดวกในการควบคุมเครื่องใช้ไฟฟ้าผ่านคำสั่งเสียงภาษาไทยปริญญานิพนธ์นี้เป็นการออกแบบอุปกรณ์ควบคุมเครื่องใช้ไฟฟ้าด้วยเสียงพูดโดยใช้คำสั่งเป็นภาษาไทยซึ่งใช้บอร์ดRaspberryPiเป็นส่วนประมวลผลและสั่งการ(MainController)ระบบสามารถควบคุมเครื่องใช้ไฟฟ้าได้3ชนิดคือควบคุมการเปิด-ปิดหลอดไฟควบคุมการเปิด-ปิดและการปรับระดับความแรงของพัดลมควบคุมการเปิด-ปิดการปรับระดับเสียงและการเปลี่ยนช่องโทรทัศน์ผ่านกล่องรับสัญญาณDigitalTVโดยเครื่องใช้ไฟฟ้าแต่ละชนิดต้องเสียบปลั๊กและเปิดสวิตซ์ไว้ตลอดเวลาโดยมีรีเลย์(Relay)เป็นตัวตัดต่อไฟให้กับเครื่องใช้ไฟฟ้าที่เชื่อมต่อกับส่วนประมวผลกลางยกเว้นพัดลมซึ่งควบคุมผ่านคลื่นวิทยุสามารถเสียบปลั๊กไว้ณตำแหน่งใดก็ได้ภายในรัศมี30เมตรมีหลอดLEDแสดงสถานะการทางานของเครื่องใช้ไฟฟ้าแต่ละชนิดทั้งนี้การรับคำสั่งควบคุมเครื่องใช้ไฟฟ้าจะรับผ่านไมโครโฟนและมีเสียงตอบรับจากระบบผ่านทางลำโพงผลการดำเนินงานพบว่าระบบควบคุมเครื่องใช้ไฟฟ้าในบ้านด้วยเสียงพูดภาษาไทยสามารถทำงานได้ตามขอบเขตของโครงงานและวัตถุประสงค์ที่ผู้จัดทำกำหนดไว้ทุกประการจากการทดสอบพบว่าการใช้เสียงพูดควบคุมเครื่องใช้ฟ้าแต่ละคำสั่งมีค่าผิดพลาดเกิดขึ้นโดยเฉลี่ย6ครั้งจากการทดลองเสียงของผู้ใช้3คนแต่ละคนทดสอบคำสั่งละ10ครั้งคิดเป็นร้อยละ20ซึ่งอยู่ในระดับที่ดี,MIS
โครงงานโปรแกรมฝึกทบทวนการแปลธงทัศนสัญญาณด้วยอุปกรณ์คีเน็คท์มีวัตถุประสงค์เพื่อเป็นแบบฝึกทบทวนการแปลธงทัศนสัญญาณสําหรับนักเรียนนายเรือและผู้ที่สนใจโดยทบทวนจากแบบฝึกทบทวนที่ได้สร้างขึ้นมาโดยใช้อุปกรณ์คีเน็คท์เป็นตัวรับข้อมูลการเคลื่อนไหวของร่างกายในส่วนของโหมดแบบฝึกทบทวนแบ่งเป็น2ภาษาดังนี้1)ภาษาไทย2)ภาษาอังกฤษและแบบทดสอบสําหรับผู้ใช้งานโดยอ่านการตีธงทัศนสัญญาณโปรแกรมฝึกทบทวนการแปลธงทัศนสัญญาณด้วยอุปกรณ์คีเน็คท์ใช้อัลกอริทึมไดนามิกไทม์วอร์ปปิงในการเปรียบเทียบข้อมูล2ชุดเพื่อหาค่าความใกล้เคียงแล้วนําผลลัพธ์มาแสดงเป็นตัวอักษรผลการดําเนินงานโปรแกรมฝึกทบทวนการแปลธงทัศนสัญญาณด้วยอุปกรณ์คีเน็คท์สามารถทํางานได้ตามวัตถุประสงค์และขอบเขตที่กําหนดไว้และสามารถนําไปฝึกทบทวนการแปลธงทัศนสัญญาณของนักเรียนนายเรือได้,MIS
